"Node","Displacement in X","Displacement in Y","Tensile Force"
1,0,0,-2292.30901151615
2,0.00100449544351631,-0.00431103818283353,-3935.07513494197
3,0.000359652362479286,-0.00466239371206369,737.327430184165
4,0.000259639760210188,-0.00443867706746459,-1420.3294550539
5,0.000558492645098172,-0.00463683859142275,1062.3200787289
6,-0.000324224390724016,-0.00424708502122132,-3114.46361332316
7,0.00116430983811857,0,-188.867841049609
